epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,100.279,0.00452,0.00763,0.48671,0.9098,0.57895,0.47826,0.6066,0.40687,0.10526,0.08696,0.06243,0.0245,0.01089,0.15181,4.1983,1.67296,0.0356291,0.000629086,0.000629086
67,102.666,0.00396,0.0071,0.4583,0.88875,0.75,0.52174,0.69189,0.46079,0.125,0.08696,0.07431,0.03201,0.01092,0.13605,3.92498,1.72408,0.0346384,0.000638438,0.000638438
68,103.878,0.00387,0.00784,0.44083,0.86642,0.92308,0.52174,0.73887,0.50315,0.07692,0.04348,0.04167,0.03334,0.01063,0.12773,3.67247,1.71742,0.0336478,0.000647779,0.000647779
69,105.155,0.00355,0.00654,0.42068,0.86233,0.92857,0.56522,0.7549,0.53645,0.07143,0.04348,0.03814,0.03051,0.01044,0.12287,3.57972,1.7635,0.0326571,0.000657111,0.000657111
70,106.412,0.00406,0.00762,0.42133,0.90529,0.86667,0.56522,0.7349,0.51607,0.13333,0.08696,0.07421,0.04003,0.00993,0.11517,3.62501,1.66231,0.0316664,0.000666433,0.000666433
71,107.637,0.00398,0.00699,0.42534,0.89081,0.86667,0.56522,0.74143,0.51628,0.13333,0.08696,0.07246,0.02507,0.00997,0.11171,3.52507,1.65825,0.0306757,0.000675745,0.000675745
72,108.991,0.00373,0.00598,0.45514,0.88549,0.77778,0.6087,0.71495,0.4768,0.16667,0.13043,0.0942,0.0496,0.01024,0.11145,3.32855,1.7824,0.029685,0.000685047,0.000685047
73,110.184,0.00348,0.00713,0.42205,0.86221,0.84211,0.69565,0.7684,0.46289,0.31579,0.26087,0.19908,0.10317,0.0105,0.11264,3.13344,1.87577,0.0286943,0.000694339,0.000694339
74,111.426,0.00363,0.00614,0.42785,0.86777,0.71429,0.65217,0.71998,0.47335,0.2381,0.21739,0.14748,0.0776,0.01005,0.11147,3.05191,1.70895,0.0277036,0.000703621,0.000703621
75,112.716,0.00394,0.00667,0.44016,0.87911,0.51613,0.69565,0.68562,0.457,0.12903,0.17391,0.08118,0.04145,0.01035,0.10941,2.99246,1.67228,0.0267129,0.000712894,0.000712894
76,113.932,0.00405,0.00701,0.42236,0.87849,1,0.43458,0.67527,0.4122,0.075,0.13043,0.06405,0.03058,0.0113,0.11111,2.75176,1.73346,0.0257222,0.000722156,0.000722156
77,115.237,0.00395,0.00704,0.45049,0.86234,1,0.45174,0.71694,0.44878,0.1,0.17391,0.06644,0.01559,0.01089,0.10803,2.57297,1.63781,0.0247314,0.000731409,0.000731409
78,116.443,0.00406,0.00658,0.43416,0.88336,1,0.3801,0.6824,0.44386,0.10204,0.21739,0.07811,0.03056,0.01068,0.09869,2.69789,1.65794,0.0237407,0.000740651,0.000740651
