epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,219.223,0.00408,0.00777,0.54083,1.06003,0.68441,0.65333,0.67144,0.48864,0.49759,0.46667,0.40459,0.19395,0.00656,0.04523,1.37476,1.31402,0.00096733,0.00096733,0.00096733
68,222.252,0.00416,0.00749,0.55076,1.05952,0.80101,0.57333,0.67561,0.46875,0.72363,0.52,0.59702,0.35318,0.00648,0.02063,1.35874,1.34011,0.000966835,0.000966835,0.000966835
69,225.222,0.00413,0.00787,0.56299,1.03739,0.7841,0.52,0.62227,0.44961,0.73794,0.46667,0.56311,0.27367,0.00681,0.02749,1.34686,1.38124,0.00096634,0.00096634,0.00096634
70,228.261,0.00414,0.00745,0.53363,1.078,0.80345,0.57333,0.6835,0.49721,0.82779,0.58667,0.70224,0.47095,0.00638,0.01661,1.32872,1.28777,0.000965845,0.000965845,0.000965845
71,231.267,0.00405,0.00768,0.56283,1.04715,0.84093,0.61333,0.73601,0.53166,0.87893,0.64,0.77057,0.50894,0.00633,0.01499,1.13632,1.37582,0.00096535,0.00096535,0.00096535
72,234.312,0.00414,0.00732,0.52871,1.05323,0.65039,0.64495,0.67233,0.46957,0.73965,0.60612,0.70322,0.42583,0.00706,0.01689,1.28756,1.44144,0.000964855,0.000964855,0.000964855
73,237.589,0.00406,0.00731,0.51844,1.0348,0.81948,0.66667,0.71783,0.53932,0.83665,0.68292,0.74211,0.46551,0.00638,0.01674,1.21677,1.33755,0.00096436,0.00096436,0.00096436
74,240.652,0.00398,0.00711,0.51809,1.02058,0.80257,0.62667,0.74279,0.55583,0.83224,0.64,0.75419,0.45827,0.00633,0.01911,1.20475,1.34916,0.000963865,0.000963865,0.000963865
75,243.669,0.00399,0.00726,0.51888,1.05073,0.69347,0.54667,0.61788,0.47917,0.69347,0.54667,0.62591,0.40909,0.00619,0.02198,1.57339,1.32471,0.00096337,0.00096337,0.00096337
76,246.742,0.00399,0.00782,0.51312,1.03794,0.73947,0.44,0.51317,0.39709,0.76187,0.45333,0.52773,0.38681,0.00751,0.01883,1.9707,1.42233,0.000962875,0.000962875,0.000962875
