epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,117.218,0.00337,0.0065,0.45835,0.92973,0.05036,0.20588,0.0356,0.01824,0.02158,0.08824,0.01221,0.0033,0.01627,0.19065,4.3889,2.91277,0.0197775,0.000777523,0.000777523
83,118.566,0.00304,0.00578,0.40817,0.89637,0.05263,0.20588,0.03394,0.01298,0.00752,0.02941,0.00407,0.00163,0.01785,0.1873,4.57688,3.18103,0.0187867,0.000786716,0.000786716
84,119.824,0.00349,0.00669,0.44191,0.97109,0.05263,0.20588,0.03707,0.01103,0.00752,0.02941,0.00402,0.00201,0.01872,0.18964,4.61613,3.36004,0.0177959,0.000795899,0.000795899
85,122.334,0.00308,0.00632,0.44448,0.91782,0.05085,0.17647,0.03519,0.01175,0.00847,0.02941,0.00456,0.00274,0.01808,0.18739,4.50825,3.29908,0.0168051,0.000805073,0.000805073
86,123.71,0.0032,0.00679,0.44355,0.92183,0.07619,0.23529,0.06463,0.02334,0.01905,0.05882,0.01517,0.008,0.01765,0.17136,4.45407,3.41271,0.0158142,0.000814236,0.000814236
87,124.973,0.00334,0.00684,0.42908,0.95779,0.064,0.23529,0.06028,0.0227,0.016,0.05882,0.01572,0.01091,0.01755,0.16345,4.38134,3.74782,0.0148234,0.00082339,0.00082339
88,126.263,0.00339,0.00689,0.45825,0.94662,0.04908,0.23529,0.05031,0.01853,0.01227,0.05882,0.01136,0.00774,0.01781,0.14126,4.50805,3.89618,0.0138325,0.000832533,0.000832533
89,127.588,0.0037,0.00686,0.45254,1.00219,0.04268,0.20588,0.05376,0.02169,0.24009,0.02941,0.01873,0.01271,0.01782,0.11483,4.55878,3.94928,0.0128417,0.000841667,0.000841667
90,128.906,0.00336,0.00661,0.43872,0.93355,0.04167,0.20588,0.04127,0.01288,0.20264,0.05882,0.0194,0.00742,0.01785,0.10936,4.61617,4.08447,0.0118508,0.000850791,0.000850791
91,130.243,0.00322,0.00609,0.41855,0.94288,0.03521,0.14706,0.03305,0.01533,0.17948,0.05882,0.02812,0.00874,0.01747,0.11338,4.7181,4.19244,0.0108599,0.000859905,0.000859905
92,131.564,0.00382,0.00659,0.46284,1.02365,0.04902,0.14706,0.03665,0.01413,0.03922,0.11765,0.02718,0.00767,0.01687,0.10911,5.00672,4.11689,0.00986901,0.000869009,0.000869009
93,132.813,0.00353,0.00701,0.47899,0.97033,0.03947,0.08824,0.02858,0.00926,0.03947,0.08824,0.02925,0.00634,0.01692,0.10349,5.13438,4.22032,0.0088781,0.000878103,0.000878103
94,134.12,0.00336,0.00635,0.41451,0.93959,0.03448,0.08824,0.02292,0.0118,0.04598,0.11765,0.02935,0.00686,0.01637,0.10688,5.18361,4.04319,0.00788719,0.000887187,0.000887187
95,135.37,0.00352,0.0064,0.46095,0.95933,0.05882,0.14706,0.06556,0.02995,0.04706,0.11765,0.05374,0.01424,0.01548,0.11572,4.81458,3.44879,0.00689626,0.000896262,0.000896262
96,136.715,0.0033,0.00685,0.4112,0.93988,0.14062,0.26471,0.11565,0.06458,0.04688,0.08824,0.03082,0.00782,0.01487,0.13556,4.52393,3.094,0.00590533,0.000905326,0.000905326
97,137.996,0.00316,0.00674,0.40266,0.9492,0.21818,0.35294,0.1929,0.10349,0.05455,0.08824,0.03014,0.00788,0.01381,0.15622,4.18126,2.86083,0.00491438,0.000914381,0.000914381
98,139.302,0.00353,0.00717,0.46805,0.93652,0.15,0.17647,0.13338,0.08768,0.1,0.11765,0.07725,0.03411,0.01375,0.15482,4.27753,2.78714,0.00392343,0.000923425,0.000923425
99,140.644,0.00351,0.00793,0.49269,0.99447,0.125,0.11765,0.09131,0.04904,0.09375,0.08824,0.06039,0.01696,0.01571,0.16132,4.57262,2.91491,0.00293246,0.00093246,0.00093246
100,141.881,0.00339,0.00645,0.43235,0.96368,0.20588,0.20588,0.12976,0.0509,0.05882,0.05882,0.03891,0.00876,0.01717,0.19204,4.73494,3.02861,0.00194149,0.000941485,0.000941485
101,143.183,0.00334,0.00702,0.39937,0.95177,0.11765,0.17647,0.08907,0.05348,0.05882,0.08824,0.0391,0.01079,0.01656,0.22923,4.60276,2.87782,0.0009505,0.0009505,0.0009505
102,144.477,0.00335,0.00681,0.43578,0.95523,0.08955,0.17647,0.08596,0.05599,0.30153,0.05882,0.05106,0.01992,0.01589,0.27728,4.34447,2.79764,0.000950005,0.000950005,0.000950005
103,145.766,0.00305,0.0061,0.39356,0.92836,0.14085,0.29412,0.14802,0.09046,0.40771,0.08824,0.09132,0.05385,0.01525,0.25372,4.22038,2.65755,0.00094951,0.00094951,0.00094951
104,147.142,0.00334,0.00744,0.42575,0.93712,0.1194,0.23529,0.15678,0.11947,0.27855,0.08824,0.13543,0.06658,0.01475,0.20088,4.07539,2.58642,0.000949015,0.000949015,0.000949015
105,148.485,0.00298,0.00575,0.4321,0.9234,0.42886,0.08824,0.15743,0.11367,0.43143,0.08824,0.14699,0.07579,0.01419,0.15904,4.00566,2.72213,0.00094852,0.00094852,0.00094852
106,149.749,0.00333,0.00689,0.39876,0.94596,0.1125,0.26471,0.14421,0.10217,0.0875,0.20588,0.12614,0.07933,0.01434,0.14334,4.05203,2.82344,0.000948025,0.000948025,0.000948025
107,152.37,0.00337,0.00649,0.42214,0.95805,0.08791,0.23529,0.14409,0.09321,0.28204,0.05882,0.12588,0.07075,0.01491,0.14446,3.99334,2.99184,0.00094753,0.00094753,0.00094753
108,153.798,0.00315,0.00657,0.41341,0.93473,0.47888,0.13588,0.1166,0.07288,0.42824,0.11765,0.08874,0.05356,0.01682,0.14047,3.95783,3.26858,0.000947035,0.000947035,0.000947035
109,155.048,0.00329,0.00683,0.39907,0.93479,0.41023,0.14706,0.12318,0.06507,0.30295,0.08824,0.08483,0.03925,0.0177,0.13268,4.05908,3.53704,0.00094654,0.00094654,0.00094654
110,156.397,0.00355,0.00695,0.47399,0.97426,0.07865,0.20588,0.07212,0.03432,0.04494,0.11765,0.04394,0.01711,0.01719,0.13223,4.26904,3.40535,0.000946045,0.000946045,0.000946045
111,157.736,0.00323,0.00607,0.39305,0.9346,0.08974,0.20588,0.06204,0.02607,0.0641,0.14706,0.04569,0.01596,0.01693,0.10157,4.33697,3.42374,0.00094555,0.00094555,0.00094555
112,158.979,0.00313,0.00653,0.42643,0.9218,0.09091,0.26471,0.06998,0.02904,0.21417,0.02941,0.01741,0.00684,0.01688,0.08277,4.14995,3.28176,0.000945055,0.000945055,0.000945055
